Slot ID,X1,Y1,X2,Y2,Status
1,352,63,392,121,Available
2,315,10,351,65,Available
3,378,94,416,154,Available
4,172,138,228,191,Available
5,255,192,314,245,Available
6,386,38,427,71,Available
7,464,200,506,269,Available
8,189,178,246,234,Available
9,204,219,262,282,Available
10,431,159,473,220,Available
11,402,121,442,186,Available
12,220,116,275,163,Available
13,366,12,406,49,Available
14,533,205,586,262,Available
15,494,162,554,214,Available
16,294,0,349,21,Available
17,541,305,588,370,Occupied
18,498,25,527,73,Occupied
19,526,52,556,106,Occupied
20,502,242,544,314,Occupied
21,225,268,287,341,Occupied
22,273,236,337,299,Occupied
23,334,40,371,90,Occupied
24,303,469,392,576,Occupied
25,206,82,257,126,Occupied
26,298,289,364,359,Occupied
27,248,329,318,405,Occupied
28,193,53,237,92,Occupied
29,433,92,477,132,Occupied
30,150,70,197,114,Occupied
31,363,428,431,508,Occupied
32,461,126,511,171,Occupied
33,409,62,452,101,Occupied
34,160,101,210,153,Occupied
35,135,44,180,83,Occupied
36,557,85,591,140,Occupied
37,326,353,402,428,Occupied
38,174,27,220,66,Occupied
39,570,261,625,323,Occupied
40,274,390,351,481,Occupied
41,237,151,295,202,Occupied
42,474,2,503,47,Occupied
43,594,102,631,169,Occupied
